,currency,sector,credit_source,time,variable,value
9098,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2000-02-01,Innenlandsk lσnegjeld,474.274
9099,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2000-03-01,Innenlandsk lσnegjeld,480.438
9100,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2000-04-01,Innenlandsk lσnegjeld,498.127
9101,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2000-05-01,Innenlandsk lσnegjeld,502.378
9102,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2000-06-01,Innenlandsk lσnegjeld,506.029
9103,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2000-07-01,Innenlandsk lσnegjeld,514.779
9104,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2000-08-01,Innenlandsk lσnegjeld,519.847
9105,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2000-09-01,Innenlandsk lσnegjeld,528.791
9106,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2000-10-01,Innenlandsk lσnegjeld,532.473
9107,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2000-11-01,Innenlandsk lσnegjeld,541.774
9108,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2000-12-01,Innenlandsk lσnegjeld,534.868
9109,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2001-01-01,Innenlandsk lσnegjeld,539.415
9110,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2001-02-01,Innenlandsk lσnegjeld,550.155
9111,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2001-03-01,Innenlandsk lσnegjeld,556.026
9112,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2001-04-01,Innenlandsk lσnegjeld,565.205
9113,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2001-05-01,Innenlandsk lσnegjeld,566.169
9114,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2001-06-01,Innenlandsk lσnegjeld,567.501
9115,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2001-07-01,Innenlandsk lσnegjeld,567.922
9116,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2001-08-01,Innenlandsk lσnegjeld,567.869
9117,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2001-09-01,Innenlandsk lσnegjeld,573.462
9118,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2001-10-01,Innenlandsk lσnegjeld,574.221
9119,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2001-11-01,Innenlandsk lσnegjeld,580.926
9120,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2001-12-01,Innenlandsk lσnegjeld,578.27
9121,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2002-01-01,Innenlandsk lσnegjeld,583.697
9122,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2002-02-01,Innenlandsk lσnegjeld,588.059
9123,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2002-03-01,Innenlandsk lσnegjeld,592.896
9124,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2002-04-01,Innenlandsk lσnegjeld,596.507
9125,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2002-05-01,Innenlandsk lσnegjeld,595.995
9126,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2002-06-01,Innenlandsk lσnegjeld,599.149
9127,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2002-07-01,Innenlandsk lσnegjeld,597.524
9128,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2002-08-01,Innenlandsk lσnegjeld,597.186
9129,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2002-09-01,Innenlandsk lσnegjeld,594.846
9130,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2002-10-01,Innenlandsk lσnegjeld,598.477
9131,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2002-11-01,Innenlandsk lσnegjeld,610.094
9132,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2002-12-01,Innenlandsk lσnegjeld,600.291
9133,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2003-01-01,Innenlandsk lσnegjeld,604.071
9134,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2003-02-01,Innenlandsk lσnegjeld,605.936
9135,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2003-03-01,Innenlandsk lσnegjeld,606.651
9136,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2003-04-01,Innenlandsk lσnegjeld,606.755
9137,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2003-05-01,Innenlandsk lσnegjeld,610.569
9138,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2003-06-01,Innenlandsk lσnegjeld,615.452
9139,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2003-07-01,Innenlandsk lσnegjeld,606.332
9140,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2003-08-01,Innenlandsk lσnegjeld,609.207
9141,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2003-09-01,Innenlandsk lσnegjeld,603.532
9142,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2003-10-01,Innenlandsk lσnegjeld,602.32
9143,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2003-11-01,Innenlandsk lσnegjeld,604.519
9144,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2003-12-01,Innenlandsk lσnegjeld,593.744
9145,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2004-01-01,Innenlandsk lσnegjeld,602.108
9146,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2004-02-01,Innenlandsk lσnegjeld,605.574
9147,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2004-03-01,Innenlandsk lσnegjeld,600.958
9148,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2004-04-01,Innenlandsk lσnegjeld,601.621
9149,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2004-05-01,Innenlandsk lσnegjeld,604.779
9150,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2004-06-01,Innenlandsk lσnegjeld,612.072
9151,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2004-07-01,Innenlandsk lσnegjeld,611.142
9152,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2004-08-01,Innenlandsk lσnegjeld,612.081
