,currency,sector,credit_source,time,variable,value
16169,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2002-11-01,Innenlandsk lσnegjeld,723.22
16170,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2002-12-01,Innenlandsk lσnegjeld,727.274
16171,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2003-01-01,Innenlandsk lσnegjeld,730.539
16172,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2003-02-01,Innenlandsk lσnegjeld,734.917
16173,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2003-03-01,Innenlandsk lσnegjeld,741.141
16174,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2003-04-01,Innenlandsk lσnegjeld,747.164
16175,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2003-05-01,Innenlandsk lσnegjeld,755.221
16176,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2003-06-01,Innenlandsk lσnegjeld,763.983
16177,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2003-07-01,Innenlandsk lσnegjeld,772.295
16178,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2003-08-01,Innenlandsk lσnegjeld,780.631
16179,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2003-09-01,Innenlandsk lσnegjeld,791.471
16180,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2003-10-01,Innenlandsk lσnegjeld,802.362
16181,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2003-11-01,Innenlandsk lσnegjeld,811.703
16182,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2003-12-01,Innenlandsk lσnegjeld,821.337
16183,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2004-01-01,Innenlandsk lσnegjeld,828.076
16184,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2004-02-01,Innenlandsk lσnegjeld,833.364
16185,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2004-03-01,Innenlandsk lσnegjeld,845.45
16186,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2004-04-01,Innenlandsk lσnegjeld,854.814
16187,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2004-05-01,Innenlandsk lσnegjeld,865.406
16188,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2004-06-01,Innenlandsk lσnegjeld,875.571
16189,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2004-07-01,Innenlandsk lσnegjeld,887.545
16190,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2004-08-01,Innenlandsk lσnegjeld,895.362
16191,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2004-09-01,Innenlandsk lσnegjeld,905.34
16192,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2004-10-01,Innenlandsk lσnegjeld,915.834
